è¨ëqÇÃì`î¿ëπé∏ÉfÅ[É^,,,,H30.6.15,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ç¿ïWx,ç¿ïWy,"ì`î¿ëπé∏
Loss",ìπòHÇ…âàÇ¡ÇΩãóó£,ëóéÛêMä‘ãóó£,ìπòHïù,ìπòHäp,ÉRÅ[ÉXñº,,,
[m],[m],[dB],[m],[m],[m],[Åã],,,,
-388.5,-153.4,123.2,360,418.2,18,26.8,á@,,,
-388.6,-163.4,122.1,370,427.2,18,26.2,á@,,,
-388.6,-173.4,122.0,380,436.2,18,25.6,á@,,,
-388.6,-183.4,122.4,390,445.2,18,25.1,á@,,,
-389.8,-199.8,120.9,400,460.6,13,10.9,á@,,,
-392.1,-209.5,123.6,410,470.5,13,10.7,á@,,,
-394.4,-219.2,120.1,420,480.3,13,10.5,á@,,,
-396.7,-229.0,124.9,430,490.1,13,10.3,á@,,,
-399.1,-238.7,125.5,440,500.0,13,10.1,á@,,,
-275.8,-261.1,114.0,10,486.8,15,2.4,áA,,,
-273.8,-251.3,114.5,20,476.8,15,2.5,áA,,,
-271.8,-241.5,113.5,30,466.8,15,2.6,áA,,,
-269.8,-231.7,113.2,40,456.8,15,2.6,áA,,,
-267.8,-221.9,115.2,50,446.9,15,2.7,áA,,,
-265.8,-212.1,112.9,60,436.9,15,2.7,áA,,,
-263.8,-202.3,113.2,70,426.9,15,2.8,áA,,,
-261.9,-192.5,116.8,80,416.9,15,2.9,áA,,,
-259.9,-182.7,111.9,90,406.9,15,2.9,áA,,,
-257.9,-172.9,107.9,100,396.9,15,3.0,áA,,,
-255.9,-163.1,109.7,110,386.9,15,3.1,áA,,,
-253.9,-153.3,110.2,120,376.9,15,3.2,áA,,,
-251.9,-143.5,112.6,130,367.0,15,3.2,áA,,,
-249.9,-133.7,110.2,140,357.0,15,3.3,áA,,,
-248.0,-123.9,111.1,150,347.0,15,3.4,áA,,,
-246.0,-114.1,110.9,160,337.0,15,3.5,áA,,,
-244.0,-104.3,109.3,170,327.0,15,3.6,áA,,,
-242.0,-94.5,105.7,180,317.1,15,3.8,áA,,,
-240.0,-84.7,107.2,190,307.1,15,3.9,áA,,,
-238.0,-74.9,109.1,200,297.1,15,4.0,áA,,,
-236.0,-65.1,107.2,210,287.1,15,4.2,áA,,,
-234.1,-55.3,105.3,220,277.2,15,4.3,áA,,,
-232.1,-45.4,105.4,230,267.2,15,4.5,áA,,,
-230.1,-35.6,105.1,240,257.2,15,4.6,áA,,,
-228.1,-25.8,102.7,250,247.2,26,4.8,áA,,,
-226.1,-16.0,100.3,260,237.3,26,5.0,áA,,,
-224.1,-6.2,101.6,270,227.3,26,5.2,áA,,,
-222.1,3.6,105.2,280,217.4,14,5.5,áA,,,
-220.2,13.4,103.3,290,207.4,14,5.8,áA,,,
-218.2,23.2,100.5,300,197.5,14,6.0,áA,,,
-216.2,33.0,101.6,310,187.5,14,6.4,áA,,,
-214.2,42.8,98.2,320,177.6,14,6.7,áA,,,
-212.2,52.6,93.9,330,167.7,14,7.1,áA,,,
-210.2,62.4,92.9,340,157.7,14,7.6,áA,,,
-208.2,72.2,98.3,350,147.8,14,8.1,áA,,,
-206.3,82.0,98.7,360,137.9,14,8.7,áA,,,
-204.3,91.8,93.3,370,128.1,14,9.3,áA,,,
-202.3,101.6,93.3,380,118.2,14,10.1,áA,,,
-200.3,111.4,92.6,390,108.4,14,11.1,áA,,,
-198.3,121.2,91.0,400,98.6,14,12.2,áA,,,
-196.3,131.0,89.5,410,88.8,14,13.5,áA,,,
-194.3,140.8,89.5,420,79.1,14,15.2,áA,,,
-192.4,150.6,87.0,430,69.5,14,17.4,áA,,,
-190.4,160.4,87.3,440,60.1,14,20.2,áA,,,
-188.4,170.2,85.6,450,50.8,14,24.1,áA,,,
6.1,115.5,112.5,10,230.5,40,74.4,áB,,,
4.1,105.7,113.1,20,233.4,40,72.0,áB,,,
2.2,95.9,113.5,30,236.7,40,69.7,áB,,,
0.2,86.1,113.9,40,240.3,40,67.5,áB,,,
-1.7,76.3,115.6,50,244.3,40,65.3,áB,,,
-3.7,66.5,115.9,60,248.7,40,63.2,áB,,,
-5.7,56.7,115.9,70,253.3,40,61.2,áB,,,
-7.6,46.9,115.5,80,258.3,40,59.3,áB,,,
-9.6,37.1,115.6,90,263.6,40,57.4,áB,,,
-11.5,27.3,115.8,100,269.1,40,55.6,áB,,,
-13.5,17.5,117.2,110,274.9,40,53.9,áB,,,
-15.4,7.7,115.5,120,280.9,40,52.2,áB,,,
-17.4,-2.2,117.7,130,287.1,40,50.6,áB,,,
-19.3,-12.0,116.8,140,293.5,40,49.1,áB,,,
-21.3,-21.8,117.2,150,300.2,40,47.7,áB,,,
-23.2,-31.6,117.1,160,307.0,40,46.3,áB,,,
-25.2,-41.4,115.4,170,314.0,40,45.0,áB,,,
-27.1,-51.2,114.6,180,321.1,40,43.7,áB,,,
-29.1,-61.0,114.2,190,328.4,40,42.5,áB,,,
-31.0,-70.8,117.6,200,335.9,40,41.4,áB,,,
-33.0,-80.6,118.6,210,343.4,40,40.3,áB,,,
-35.0,-90.4,118.8,220,351.1,40,39.2,áB,,,
-36.9,-100.2,123.3,230,358.9,40,38.2,áB,,,
