Å¶1Ç¬ÇÃåöï®ÇÃélã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ínê}(ñkÇ™è„)Ç…ï`Ç©ÇÍÇƒÇ¢ÇÈåöï®ÇÃç∂è„Å®âEè„Å®ç∂â∫Å®âEâ∫ÇÃèáÇ≈élã˜ÇÃç¿ïWÇé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶xÇÕåöï®ÇÃélã˜ÇÃxç¿ïWÇÅAyÇÕåöï®ÇÃélã˜ÇÃyç¿ïWÇÅAÇàÇÕåöï®ÇÃçÇÇ≥Çé¶Ç∑ÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Å¶ç¿ïWÇÃå¥ì_ÇÕïΩòaí ÇËÇ∆èüéRí ÇËÇ™åÇÌÇÈãõí¨åç∑ì_ÇÃê^ÇÒíÜÇ≈Ç†ÇÈÅB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],,,x [m],y [m],h[m],âìï˚ÇÃçÇÇ¢ÉrÉã,,,,,,,,,,
,,-266.9,223.0,4,,,-335.8,132.9,8,ãûí¨ÇPíöñ⁄ÇQî‘ín,,-72.7,178.5,30,,,-133.5,98.0,15,ãõí¨ÇPíöñ⁄ÇRî‘ín,,57.1,435.0,28,,,,,,,,,,,
,,-220.6,218.9,4,,,-320.5,130.0,8,,,-53.3,173.7,30,,,-73.6,85.7,15,,,67.5,432.0,28,,,,,,,,,,,
,,-271.3,199.5,4,,,-338.2,119.1,8,,,-76.7,163.3,30,,,-146.7,36.5,15,,,54.1,422.7,28,,,,,,,,,,,
,,-221.6,190.4,4,,,-323.2,116.3,8,,,-56.6,158.2,30,,,-87.7,24.5,15,,,64.6,421.2,28,,,,,,,,,,,
,,-219.2,231.5,9,,,-339.2,118.1,15,,,-177.8,174.8,11,ãûí¨ÇQíöñ⁄ÇPî‘ín,,-148.7,30.8,12,,,96.3,441.9,30,,,,,,,,,,,
,,-186.8,228.8,9,,,-325.0,115.5,15,,,-156.2,169.9,11,,,-89.3,17.4,12,,,110.2,438.4,30,,,,,,,,,,,
,,-220.5,198.5,9,,,-341.8,104.4,15,,,-179.7,168.6,11,,,-153.1,7.8,12,,,91.9,427.1,30,,,,,,,,,,,
,,-193.5,193.8,9,,,-327.3,102.0,15,,,-157.5,163.6,11,,,-95.4,-5.0,12,,,104.8,424.1,30,,,,,,,,,,,
,,,,,,,-314.2,128.2,8,,,-181.0,167.8,21,,,-67.1,84.1,10,ãõí¨ÇPíöñ⁄ÇUî‘ín,,46.2,414.8,30,,,,,,,,,,,
,,,,,,,-303.5,126.1,8,,,-157.5,162.6,21,,,-59.3,82.1,10,,,59.6,409.8,30,,,,,,,,,,,
,,,,,,,-318.9,101.0,8,,,-182.8,157.4,21,,,-73.6,60.6,10,,,42.2,402.4,30,,,,,,,,,,,
,,,,,,,-308.0,99.1,8,,,-159.5,152.2,21,,,-64.5,59.9,10,,,54.6,398.0,30,,,,,,,,,,,
,,,,,,,-342.3,103.4,31,,,-141.8,167.1,9,,,-41.5,78.0,12,,,41.2,398.5,20,,,,,,,,,,,
,,,,,,,-305.5,96.6,31,,,-127.7,164.2,9,,,-33.1,76.0,12,,,49.6,395.5,20,,,,,,,,,,,
,,,,,,,-343.9,93.2,31,,,-146.8,147.2,9,,,-47.6,55.9,12,,,35.2,385.7,20,,,,,,,,,,,
,,,,,,,-307.8,86.7,31,,,-132.9,144.1,9,,,-39.8,54.7,12,,,45.2,381.2,20,,,,,,,,,,,
,,,,,,,-344.7,91.5,30,,,-182.5,155.3,9,,,-73.6,60.6,14,,,-108.9,401.9,35,,,,,,,,,,,
